"";"Year";"Mo";"Da";"Ho";"Area";"Lat";"Lon";"Dep";"M"
"157";1633;3;1;5;"W side of Kanagawa Pref.";35,2;139,2;NA;7
"158";1637;2;1;1;"[Vrancea deep]";45,7;26,6;130;7,1
"159";1638;3;27;15;"Calabria";39,048;16,289;NA;7,02
"160";1644;1;16;11;"[Colombia]";7,4;-72,7;NA;7
"161";1644;5;12;12;"Ambon";-3,85;128,4;NA;7
"162";1645;3;15;NA;"Chimborazo";-1,73;-78,8;NA;7
"163";1645;11;30;12;"Philippines";15,6;121,2;NA;7,9
"164";1647;5;14;2;"[Chile]";-33;-72;NA;8
"165";1648;NA;NA;NA;"[Nicaragua]";12,5;-86,8;NA;7,2
"166";1648;2;2;NA;"Flores";-8,4;122,95;NA;7
"167";1648;6;13;12;"Kanagawa Pref.";35,2;139,2;NA;7
"168";1649;3;17;12;"Ehime and Hiroshima Pref.";33,7;132,5;NA;7
"169";1649;7;30;1;"Tokyo, Saitama Pref.";35,8;139,5;NA;7
"170";1650;3;31;16;"[Peru]";-13,6;-72,2;70;7,4
"171";1650;3;31;19;"[Peru]";-13,5;-71,7;30;7,2
"172";1651;NA;NA;NA;"[Nicaragua]";11,2;-85,2;NA;7,3
"173";1652;7;13;NA;"S of Midu (Yunnan)";25,2;100,6;NA;7
"174";1654;NA;NA;NA;"Xizang (Tibet)";30,8;95,6;NA;7
"175";1654;7;21;NA;"S of Tongwei (Gansu)";34,3;105,5;NA;8
"176";1655;11;13;19;"[Peru]";-12,3;-77,6;30;7,7
"177";1657;3;15;23;"[Chile]";-36,83;-73,03;NA;8
"178";1658;2;14;NA;"[Peru]";-8,2;-80,1;40;7,7
"179";1659;2;17;NA;"Redestos";40,713;27,256;NA;7,1
"180";1659;12;NA;NA;"Indonesia";-4,2;127;NA;7,5
"181";1662;6;16;12;"Kinki";35,2;135,95;NA;7,4
"182";1662;10;31;NA;"Hyuga,Osumi";31,7;132;NA;7,6
"183";1663;NA;NA;NA;"[Nicaragua]";12,42;-86,55;NA;7,3
"184";1663;2;5;22;"Charlevoix-Kamouraska, Quebec";47,6;-70,1;NA;6,7
"185";1664;NA;NA;NA;"N Bangla";25;90;NA;7,7
"186";1664;5;12;9;"[Peru]";-14,1;-75,85;15;7,3
"187";1666;9;22;NA;"[Iraq]";37;43;35;6,9
"188";1666;11;13;9;"Turkey";39,7;39,5;10;7,5
"189";1667;NA;NA;NA;"[Jamaica]";17,8;-77;30;6,7
"190";1668;1;14;NA;"Azerbaijan";41;48;40;7,8
"191";1668;7;25;NA;"Tancheng (Shandong)";34,8;118,5;NA;8,5
"192";1668;7;29;NA;"Caucasus";41;48;30;7,1
"193";1668;8;17;NA;"Amasya";40,5;36;NA;7,9
"194";1671;10;17;NA;"Saparua";-3,8;128,7;NA;7,5
"195";1672;2;14;NA;"Bozcaada";39,818;25,717;NA;7,05
"196";1673;5;9;11;"[Dominican Republic]";18,4;-70,3;30;7,3
"197";1673;8;12;14;"Indonesia";0,8;127,3;NA;7
"198";1674;3;16;NA;"[Venezuela]";8,95;-70,8;NA;7,4
"199";1675;2;16;23;"Ambon";-4;127,75;NA;7,9
"200";1677;4;13;2;"Sanriku area";41;143;NA;7,9
"201";1677;11;4;20;"Fukushima Pref., E Kanto area";35;141,5;NA;8
"202";1677;12;7;11;"Philippines";14,5;119,5;NA;7,3
"203";1678;2;11;14;"[Cuba]";19,9;-76;30;6,7
"204";1678;6;16;1;"[Peru]";-12,3;-77,8;40;7,7
"205";1678;10;2;20;"Tohoku area";39;142;NA;7,5
"206";1679;9;2;NA;"Sanhe and Pinggu (Hebei)";40;117;NA;8
"207";1681;1;10;NA;"Heraklio";35,4;23,5;NA;7
"208";1681;3;10;NA;"[Chile]";-18,5;-70,35;NA;7,25
"209";1681;8;18;NA;"[Vrancea deep]";45,7;26,6;150;7,1
"210";1681;12;11;NA;"Indonesia";-2,2;99;NA;7
"211";1681;12;27;4;"[Vrancea]";45,7;26,6;150;7,1
"212";1683;10;16;NA;"Banda";-4,5;130,3;NA;7
"213";1683;10;20;5;"Tochigi Pref., Fukushima Pref.";36,9;139,9;NA;7
"214";1683;11;22;NA;"Close to Yuanping (Shanxi)";38,7;112,7;NA;7
"215";1684;NA;NA;NA;"[Dominican Republic]";18,4;-70,3;30;7
"216";1686;1;4;11;"Hiroshima, Yamaguchi, Ehime Pref.";34;132,6;NA;7,2
"217";1686;10;3;7;"Japan";34,45;137,4;NA;7
"218";1687;7;12;7;"[Chile]";-32,75;-70,73;NA;7,25
"219";1687;10;20;10;"[Peru]";-13,231;-76,507;30;8,6
"220";1688;10;19;NA;"Philippines";16,95;122,2;NA;7,5
"221";1690;4;5;NA;"Lesser Antilles";17,08;-62,51;NA;7,5
"222";1690;11;20;19;"[Peru]";-12,55;-77;40;7,2
"223";1691;NA;NA;NA;"[Dominican Republic]";18,4;-70,3;30;7,5
"224";1692;6;17;16;"Jamaique";17,966;-76,783;NA;7,5
